Timestamp,Year of study,What is you department?,Are you currently pursuing a minor under any of the following departments/programs?,Gender,What song are you vibing to these days?,Relationship Status,Township,How frequently do you eat out?,How often do you feel homesick?,Do you get along with your roommate?,Are you facing Intern/placement issue?,How much are you affected by quizzes and assignments ?,"CPI (write in the text box) 
Disclaimer: This is an anonymous survey, we don't judge.",How is your social life?,How many hours do you sleep daily?,How well are you coping up with the offline semester?,Do you feel you are missing out?,Do you think your fluency in English affects your confidence?,How does your Insti life compare to your expectations? Take your time,Any feedback regarding the survey? How could we have done better?
10/27/2022 15:31:48,3rd,Chemical,None,Male,,Single,Town,Never,Never,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,4,,I prefer my own company,5,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 15:34:09,2nd,Electrical,None,Male,,Single,City,Often (more than five times a week),Always,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,5.14,To a point where I feel guilty of inefficient time management,5,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 15:36:26,2nd,Engineering Physics,Mathematics,Male,Extremes by Alan Walker,Committed,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,3,9.12,I like to keep my social circle small,7,Its just perfect,Extra Curriculars (Cult activities and college fests),No,3,
10/27/2022 15:37:56,3rd,Humanities and Social Science,Statistics,Male,,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,2,8.32,I'm an extrovert,7,Its just perfect,"Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 15:38:21,2nd,Mechanical,None,Male,,Single,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,No,4,7.6,To a point where I feel guilty of inefficient time management,5,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests)",No,3,
10/27/2022 15:42:51,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,co2,Committed,City,Often (more than five times a week),Never,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,4,,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 15:44:16,2nd,Mechanical,None,Male,Sweet songs,Single,City,Occasionally (once in a week),Sometimes,I live in single occupancy,No,3,6.3,To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,3,
10/27/2022 15:47:00,2nd,Electrical,None,Male,,Single,City,Occasionally (once in a week),Never,There is minor miscommunication,No,4,8.12,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 15:47:27,3rd,Electrical,Centre for Machine Intelligence and Data Science,Male,US Sidhu moosewala,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,4,9.1,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 15:51:57,3rd,Mechanical,None,Male,Dhalti Rahe by Twin Strings,Single,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,I am feeling left out as my friends have already found fits.,4,,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 15:53:50,2nd,Metallurgy Engineering and Material Science,None,Male,"Spotify Radio, baaki kuch nahin pata",Committed,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,7.89,I like to keep my social circle small,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,4,
10/27/2022 15:54:36,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Female,Song for Zula,Committed,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,5,8.81,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests)",Yes,4,
10/27/2022 16:04:28,2nd,Electrical,None,Male,"Atrangi Yaari, Jhumritalaiya, Ilahi",Committed,City,Occasionally (once in a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,4,6.45,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 16:17:20,2nd,Mechanical,Desai Sethi Entrepreneurship School,Male,,Single,Town,Often (more than five times a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,2,,I like to keep my social circle small,8,Its just perfect,Scholastically,No,3,
10/27/2022 16:20:10,2nd,Engineering Physics,Computer Science and Engineering,Male,Clean by Travis Atreo,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,8.78,I prefer my own company,8,Its just perfect,"Socially, Extra Curriculars (Cult activities and college fests)",No,5,
10/27/2022 16:20:17,2nd,Mechanical,Computer Science and Engineering,Male,Set it all free,Single,City,Never,Sometimes,I feel comfortable with them,No,2,8.27,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,"Technical activities (Tech teams, Tech clubs etc.)",Yes,5,
10/27/2022 16:22:39,2nd,Electrical,None,Female,,Single,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,4,,I like to keep my social circle small,5,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,4,
10/27/2022 16:24:20,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,Deewani masthani,Single,Town,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,4,9.21,To a point where I feel guilty of inefficient time management,6,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,1,
10/27/2022 16:30:13,PhD,Computer Science and Engineering,Computer Science and Engineering,Don't know please help,Teri choodiyan ki khan khan se,In pursuit,City,Often (more than five times a week),Always,There is minor miscommunication,I am feeling left out as my friends have already found fits.,1,6.9,To a point where I feel guilty of inefficient time management,1,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",I don't understand the question :(,5,
10/27/2022 16:30:15,2nd,Computer Science and Engineering,None,Male,"I used to. But I left them, as they are only increasing pain",Single,City,Often (more than five times a week),Always,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,5,7.86,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,"Scholastically, Socially",Yes,2,
10/27/2022 16:31:08,2nd,Metallurgy Engineering and Material Science,None,Male,Don't Stop Believin,Single,City,Often (more than five times a week),Always,I feel comfortable with them,I am unable to find one that suits my interest.,5,8,I'm an extrovert,5,I am facing difficulty with time management,"Scholastically, Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 16:34:39,2nd,Electrical,None,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,3,,I like to keep my social circle small,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 16:35:03,2nd,Electrical,None,Male,,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,3,9.29,I like to keep my social circle small,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 16:35:41,2nd,Civil,None,Male,Tumse Hi,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,3,,To a point where I feel guilty of inefficient time management,4,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,3,
10/27/2022 16:37:33,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,,In pursuit,City,Often (more than five times a week),Only during difficult times,There is minor miscommunication,I am unable to find one that suits my interest.,4,8.52,I like to keep my social circle small,8,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/27/2022 16:41:25,2nd,Electrical,None,Male,2000s Bollywood,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,2,8.4,I'm an extrovert,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,5,
10/27/2022 16:50:07,3rd,Computer Science and Engineering,None,Female,Telugu slow,Single,City,Occasionally (once in a week),Always,I feel comfortable with them,I am happy with my internship opportunity.,4,,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 16:55:29,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,"comethru, fly me to the moon",Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,8.68,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,4,
10/27/2022 17:03:15,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,High hopes- Panic At Disco,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,5,,I like to keep my social circle small,3,Too Hectic for me... online was smoother,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 17:06:18,2nd,Engineering Physics,None,Male,Never Enough - Rex Orange Country,Single,City,Often (more than five times a week),Never,I feel comfortable with them,No,2,4.81,I'm an extrovert,6,Its just perfect,"Scholastically, Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 17:07:24,3rd,Computer Science and Engineering,None,Male,Chandelier by Sia,Single,Town,Often (more than five times a week),Always,There is minor miscommunication,I am happy with my internship opportunity.,3,anonymous after taking email just wow 😂,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Socially",Yes,2,
10/27/2022 17:09:00,2nd,Aerospace,None,Male,"""Phir Milenge""",Committed,Town,Often (more than five times a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,7.76,To a point where I feel guilty of inefficient time management,6,Its just perfect,"Scholastically, Extra Curriculars (Cult activities and college fests)",I don't understand the question :(,1,
10/27/2022 17:11:12,2nd,Electrical,None,Male,Gone Gone Gone by Phillip Phillips,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am happy with my internship opportunity.,4,9.17,I like to keep my social circle small,6,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 17:13:49,2nd,Mechanical,Aerospace Engineering,Male,"Summer High, Why haven't I met you",Single,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,4,9.73,I like to keep my social circle small,6,I am facing difficulty with time management,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 17:15:00,2nd,Mechanical,Computer Science and Engineering,Male,AP dhillon songs,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,3,,I like to keep my social circle small,4,I am facing difficulty with time management,"Scholastically, Socially",Yes,4,
10/27/2022 17:22:20,2nd,Civil,None,Female,"Anything from coke studio, pretty much, or death metal",Single,City,Occasionally (once in a week),Always,There is minor miscommunication,I am feeling left out as my friends have already found fits.,3,7.8,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 17:28:01,2nd,Chemical,Computer Science and Engineering,Male,Mazak,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,Fuck off,I'm an extrovert,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/27/2022 17:34:23,2nd,Electrical,None,Male,,Single,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,No,4,,I like to keep my social circle small,7,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,4,
10/27/2022 17:35:24,2nd,Chemical,IEOR,Male,Abhi mujhme kahin,Committed,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,7.5,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,Scholastically,No,1,
10/27/2022 17:43:47,2nd,Mechanical,Computer Science and Engineering,Female,Tum tak,Single,Town,Occasionally (once in a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,4,8.27,To a point where I feel guilty of inefficient time management,5,Too Hectic for me... online was smoother,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 17:48:54,2nd,Aerospace,None,Female,Anti hero,Committed,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,No,4,8,I like to keep my social circle small,8,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 17:50:13,2nd,Energy Science,None,Male,Sad,Broke up recently,City,Often (more than five times a week),Always,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,5,6.54,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/27/2022 17:51:34,2nd,Mechanical,None,Male,TERE NAAM (SAD),Single,City,Never,Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,5,Teri maa ki chut,I prefer my own company,5,Its just perfect,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/27/2022 17:52:35,2nd,Computer Science and Engineering,None,Male,,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,5,5.61,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 17:56:42,2nd,Mechanical,None,Male,,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,1,6,I prefer my own company,8,I am facing difficulty with time management,"Scholastically, Socially",Yes,2,
10/27/2022 18:04:05,2nd,Aerospace,Electrical Engineering,Male,Fire to the Rain (Hardstyle Remix),Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,5,7,I like to keep my social circle small,8,I am facing difficulty with time management,Scholastically,Yes,3,
10/27/2022 18:08:52,2nd,Aerospace,None,Female,Oops,Committed,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,5,6.54,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Technical activities (Tech teams, Tech clubs etc.)",Yes,5,
10/27/2022 18:23:51,2nd,Electrical,IEOR,Male,Charlie Puth's new album. 'No More Drama' is fav :),Single,City,Never,Only during difficult times,I feel comfortable with them,No,3,8.85,I like to keep my social circle small,7,I am facing difficulty with time management,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 18:42:54,3rd,Mechanical,IDC,Female,Aise kyun,Broke up recently,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,3,7.44,I like to keep my social circle small,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 19:06:37,2nd,Mathematics (BS),Centre for Machine Intelligence and Data Science,Gmale,I like to move it,In pursuit,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,1,1.56,I like to keep my social circle small,1,Its just perfect,"Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 19:16:58,3rd,Civil,None,Male,,Single,City,Often (more than five times a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,4,,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 20:12:53,2nd,Energy Science,None,Male,A few songs which I listen repeatedly,Single,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,I am feeling left out as my friends have already found fits.,5,.,I really don't know,8,It's hard to get inclined towards studying for acads,"Scholastically, Socially",No,2,
10/27/2022 21:02:12,2nd,Mechanical,None,Female,Tum se hi,Committed,Town,Occasionally (once in a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,3,7.59,I like to keep my social circle small,8,"Sometimes hectic, sometimes fine","Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,Maybe you can add some more options for answers (it's always good to add 'other' option:))
10/27/2022 23:04:51,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,,Single,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,9.76,I like to keep my social circle small,7,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,4,
10/27/2022 23:47:15,2nd,Electrical,None,Male,,Single,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,3,8.49,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),No,3,
10/28/2022 0:06:35,2nd,Aerospace,None,Male,"Classical, songs that aid in growing from bad times",Single,Town,Often (more than five times a week),Always,There is minor miscommunication,I am unable to find one that suits my interest.,4,7.97,I prefer my own company,4,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,Great endeavour
10/28/2022 0:21:06,2nd,Mechanical,None,Female,Kabira,Committed,City,Occasionally (once in a week),Always,I feel comfortable with them,I am unable to find one that suits my interest.,4,,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/28/2022 0:21:29,2nd,Mechanical,Computer Science and Engineering,Male,"Mostly Arijit Singh songs, Takeaway, Closer etc.",Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,3,7.97,I prefer my own company,8,Just making it through somehow,Scholastically,No,4,
10/28/2022 2:03:09,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Always,I feel comfortable with them,I am unable to find one that suits my interest.,3,8.54,I like to keep my social circle small,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,2,
10/28/2022 8:56:02,2nd,Environmental Science and Engineering,None,Male,,Single,City,Never,Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,3,5,I like to keep my social circle small,5,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests)",Yes,1,
10/28/2022 9:11:28,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,Ride it,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am happy with my internship opportunity.,3,9.25,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/28/2022 10:14:05,2nd,Electrical,None,Male,Ankhon se Batana,Broke up recently,City,Occasionally (once in a week),Never,There is minor miscommunication,I am happy with my internship opportunity.,5,9.29,I'm an extrovert,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/28/2022 10:59:12,2nd,Civil,None,Male,Pal do pal ka shayr hu,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,1,5,I like to keep my social circle small,8,Its just perfect,"Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/28/2022 12:30:04,2nd,Aerospace,SysCon,Male,,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,No,3,8.4,I'm an extrovert,6,"Sometimes it feels a lil hectic, but is way better than online sem",Scholastically,No,4,
10/28/2022 12:39:03,2nd,Civil,None,Male,Blue Bird,Single,Town,Occasionally (once in a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,2,,I prefer my own company,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/28/2022 15:24:29,2nd,Engineering Physics,Mathematics,Male,Jocelyn flores' by xxxtentacion,In pursuit,Town,Often (more than five times a week),Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,3,5.05,I prefer my own company,8,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/28/2022 17:09:51,3rd,Energy Science,SysCon,Male,World's smallest violin - AJR,Committed,City,Occasionally (once in a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,4,9.01,To a point where I feel guilty of inefficient time management,4,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,"Minors had multiple answers possible some people are doing two, you could have taken other commitments into account like tech teams and other pors , also credit load is also a good metric to judge"
10/28/2022 17:24:43,2nd,Energy Science,SysCon,Male,,Single,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,3,,I like to keep my social circle small,8,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/28/2022 18:15:28,3rd,Energy Science,None,Female,Meditative songs,Single,Town,Never,Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,8,I'm an extrovert,5,It's hectic but meditation makes it all simple,Extra Curriculars (Cult activities and college fests),No,4,"You could have added a section of asking people who are doing well that how they are doing it, like what's the activity or any other thing which keeps them refreshed or say happy or relaxed or chill."
10/28/2022 19:27:09,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,Sheila Ki Jawani,Single,City,Occasionally (once in a week),Always,I feel comfortable with them,No,4,9.15,I like to keep my social circle small,7,Its just perfect,Socially,No,5,None in particular
10/28/2022 19:37:21,2nd,Environmental Science and Engineering,Electrical Engineering,Male,A R Rahman's any songs,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,3,7.2,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,"There could have been a question about Family. If someone from family is seriously ill, it also affects the mental state significantly"
10/28/2022 21:44:42,2nd,Civil,None,Male,The Night,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,1,6.16,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,2,
10/29/2022 1:59:40,3rd,Mechanical,Computer Science and Engineering,Male,,Single,Town,Never,Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,4,,I prefer my own company,8,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/29/2022 12:55:47,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,Aurora,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,4,8.5,Hmm,4,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,"As an aspiring data scientist, I came to know the importance of feedbacks. Having said that, i don't have any feedback on this form except saying ""it's creative"". ):)"
10/29/2022 19:25:25,3rd,Mechanical,Computer Science and Engineering,Male,Nothing specific,Single,City,Occasionally (once in a week),Never,There is minor miscommunication,I am happy with my internship opportunity.,5,8.53,I'm an extrovert,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,4,None
10/29/2022 19:28:14,2nd,Civil,Civil,Male,,Single,City,Often (more than five times a week),Always,I feel comfortable with them,No,5,9,I like to keep my social circle small,3,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,5,
10/29/2022 21:32:06,2nd,Mechanical,None,Male,,Single,Town,Never,Only during difficult times,There is minor miscommunication,I am feeling left out as my friends have already found fits.,3,5.2,I prefer my own company,8,I am facing difficulty with time management,Socially,Yes,1,
10/31/2022 21:37:16,2nd,Mechanical,SysCon,Female,Hello- Treasure,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,,I like to keep my social circle small,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,4,
11/6/2022 3:42:19,2nd,Chemical,Energy Systems and Engineering,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am feeling left out as my friends have already found fits.,3,7.98,To a point where I feel guilty of inefficient time management,6,Too Hectic for me... online was smoother,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
11/7/2022 18:18:29,4th,Chemical,None,Male,Perfect,Committed,City,Often (more than five times a week),Sometimes,I live in single occupancy,Inadequate opportunity in the sector I aspire to persue.,4,9.81,I like to keep my social circle small,7,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,2,
11/17/2022 14:23:36,2nd,Aerospace,SysCon,Male,Nil,Committed,Town,Occasionally (once in a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,5,9.69,I'm an extrovert,7,Its just perfect,Extra Curriculars (Cult activities and college fests),Yes,3,Could add more variety options
11/17/2022 14:23:45,2nd,Mechanical,None,Male,Selenium Forest,Single,City,Never,Never,There is minor miscommunication,I am unable to find one that suits my interest.,4,8.75,Really bad lol,6,I am facing difficulty with time management,Socially,No,1,There’s nothing you can do. IITB is dumb
11/17/2022 14:29:29,2nd,Humanities and Social Science,Computer Science and Engineering,Male,tere naina,Single,City,Often (more than five times a week),Sometimes,I feel comfortable with them,No,3,8,I'm an extrovert,8,Its just perfect,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
11/17/2022 14:29:54,2nd,Electrical,None,Male,One Direction - What Makes You Beautiful,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,7.08,To a point where I feel guilty of inefficient time management,5,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,"You are doing just awesome, dw."
11/17/2022 14:30:37,2nd,Electrical,None,Male,Hamare sath Shri raghunath to kis bat ki chinta.,Single,Town,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,I am unable to find one that suits my interest.,4,10,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,In no. of hours of sleeping options greater than 10 should be there🥲
